p,times1,team_times1,won1,team_won1,last,max_times12,mean
149247,900,33,202,14,2008-07-07 01:33:43,7,29.6886791735
149296,900,87,246,29,2008-07-21 23:52:46,5,27.2485669689
149308,900,9,183,2,2008-02-17 15:56:12,1,29.0238895454
149394,900,206,313,99,2008-10-08 22:49:11,30,31.5638740011
149396,900,4,222,0,2008-07-29 07:30:49,2,29.4892391286
149397,900,212,221,51,2008-02-17 17:35:17,11,29.3041099124
149421,900,253,484,165,2008-07-16 04:25:51,217,34.8537426661
149503,900,11,476,2,2009-06-16 06:53:57,6,32.3048881059
149665,900,44,231,18,2008-07-23 13:59:53,17,31.2202633572
149801,900,666,650,535,2009-07-11 03:21:40,147,32.9956589915
149827,900,29,184,8,2009-02-28 16:16:55,16,28.7260034304
149851,900,7,186,2,2009-07-05 11:30:45,2,32.9802671619
149990,900,25,179,9,2008-03-07 21:30:39,3,30.2233188995
150176,900,201,310,80,2009-02-07 01:36:55,21,29.4137234924
150196,900,74,231,28,2008-04-02 15:59:43,4,29.6151202768
150228,900,35,302,12,2008-07-09 13:20:37,3,28.4183953209
150271,900,15,368,2,2008-07-31 13:01:22,1,31.969900413
150321,900,125,353,60,2008-09-30 12:11:59,21,30.0277899812
150356,900,3,395,1,2009-07-01 15:47:15,1,28.5507223184
150407,900,58,479,24,2009-07-10 21:35:11,41,32.2280359009
150486,900,181,208,77,2008-09-14 18:27:12,4,28.7782553145
150520,900,52,232,6,2008-05-31 20:07:15,5,29.2656989869
150617,900,20,342,9,2008-03-16 22:52:51,1,30.8914923015
150824,900,116,267,29,2009-03-13 09:31:38,3,30.007560318
151138,900,382,327,211,2008-04-02 10:52:50,43,30.596861729
151192,900,27,249,6,2008-07-24 22:04:04,2,29.9498039289
151254,900,147,303,61,2008-01-21 16:12:44,39,29.8966923756
151464,900,50,430,23,2008-03-30 07:29:32,6,30.6664206574
151502,900,5,234,1,2008-02-20 21:37:59,1,29.806266585
151504,900,95,367,45,2008-05-14 04:28:16,67,30.063514456
151512,900,3,286,2,2008-10-26 19:19:59,1,29.57496894
151613,900,3,219,0,2008-11-20 13:47:23,1,29.9213960595
151673,900,57,366,33,2008-01-27 00:41:37,8,31.0060917354
151680,900,4,361,2,2009-02-25 08:41:04,1,31.7609652782
151691,900,4,158,3,2008-04-01 09:14:20,1,30.1077961866
151802,900,9,246,0,2008-01-06 09:56:57,1,29.7919398908
151809,900,48,200,16,2008-04-15 09:26:45,19,26.8957817948
151940,900,12,345,4,2008-04-10 03:09:22,1,30.0529804493
152061,900,108,366,48,2008-04-17 22:54:06,11,30.4693739393
152221,900,22,398,4,2008-10-09 23:40:24,1,29.8802787761
152652,900,128,396,65,2008-07-14 01:26:30,18,32.358733959
152668,900,553,401,291,2009-03-19 04:48:06,60,30.4986038049
152669,900,44,299,18,2008-02-26 09:49:47,23,31.2558645894
152672,900,32,304,23,2008-03-29 17:05:31,30,29.5591286242
152684,900,8,474,7,2008-03-28 19:16:01,7,31.261679252
152685,900,210,358,137,2008-09-20 06:59:32,18,32.5129046177
152811,900,14,424,5,2008-03-07 03:57:55,13,29.7194830906
152823,900,29,251,11,2008-05-22 23:32:08,2,30.075081544
152845,900,267,780,218,2008-11-13 20:42:27,69,41.9385600577
153038,900,33,138,4,2008-03-20 23:29:16,2,27.8684311212
153288,900,228,448,148,2008-10-13 18:40:18,13,30.3039788504
153340,900,18,415,8,2008-06-16 15:27:59,1,30.9139589721
153391,900,2,185,0,2008-05-15 03:45:52,1,30.5699952727
153442,900,742,474,430,2008-04-11 12:13:32,68,32.4692140762
153473,900,182,282,38,2008-02-11 17:48:41,13,28.0717556591
153518,900,522,342,244,2008-07-08 06:46:04,24,30.856267254
153649,900,60,180,12,2008-03-25 20:38:28,3,29.7823870243
153892,900,126,258,45,2008-10-24 06:08:32,19,29.1599086756
154460,900,19,488,6,2008-06-02 13:56:06,2,30.8533589319
154693,900,203,363,69,2009-03-12 08:48:42,11,28.8760859727
154981,900,254,352,122,2008-07-03 06:02:29,23,31.0278790585
155041,900,73,373,29,2008-10-16 18:55:25,4,28.628998536
155066,900,48,363,28,2008-12-08 19:51:31,11,32.5795733493
155070,900,54,262,17,2008-03-09 21:18:16,19,30.5338060887
155100,900,39,226,12,2008-10-29 02:14:37,6,29.6249309789
155335,900,3,229,0,2008-03-20 07:41:57,1,29.7659786879
155345,900,321,227,87,2008-08-23 07:49:57,8,29.7347421014
155497,900,31,262,10,2009-03-30 18:54:25,2,30.4076623588
155598,900,92,310,31,2008-08-12 17:54:53,3,29.3821328114
155758,900,263,371,160,2009-03-14 02:01:51,181,28.9763705731
155799,900,7,234,2,2008-07-01 20:21:20,3,31.4237275554
155992,900,588,555,448,2008-04-20 23:28:33,39,30.482272208
156015,900,56,386,29,2008-08-10 10:13:13,19,30.5398034825
156015,900,56,386,29,2008-08-10 10:13:13,19,30.6355786741
156196,900,46,389,18,2008-03-24 15:08:03,2,32.4298676783
156278,900,45,455,18,2008-08-29 22:51:34,24,30.2792768935
156296,900,15,206,2,2008-01-31 19:36:26,3,30.2501709554
156380,900,21,155,4,2009-04-08 23:39:25,1,28.5260818505
156469,900,17,320,5,2008-05-11 13:32:39,4,30.3601438966
156597,900,68,447,37,2008-09-09 09:16:47,16,33.2593817112
156699,900,11,258,2,2008-03-14 02:19:56,2,30.8301920163
156723,900,408,392,177,2008-04-08 20:57:20,28,30.3411541213
156729,900,344,468,261,2008-03-15 20:08:46,84,30.3720535844
156858,900,123,300,45,2008-07-28 01:44:39,70,31.4815555182
156925,900,7,486,4,2008-08-27 20:25:08,1,31.627177392
157036,900,6,371,2,2008-06-16 20:36:49,3,29.9551549675
157073,900,49,214,25,2008-11-02 20:22:16,4,30.9116640755
157085,900,10,347,1,2009-02-17 06:24:52,1,27.7517237456
157123,900,18,277,7,2009-05-04 00:13:04,2,29.5190196347
157127,900,90,173,34,2008-05-02 18:08:00,9,29.5950775993
157318,900,23,309,11,2008-06-30 00:19:00,8,31.3747901756
157382,900,38,347,18,2008-02-29 13:48:17,18,30.3401951532
157382,900,38,347,18,2008-02-29 13:48:17,18,30.2085130741
157412,900,88,475,43,2008-08-30 22:28:56,61,29.5699185093
157487,900,43,221,21,2008-10-17 20:18:51,19,29.7228565782
157524,900,47,371,29,2008-07-23 05:31:00,6,31.0951734943
157623,900,794,589,556,2008-07-23 21:09:45,89,32.7632168973
157816,900,284,408,138,2008-10-08 18:03:57,121,30.6433798225
157882,900,94,430,57,2009-02-17 09:47:03,8,31.1720905131
157941,900,90,196,31,2008-08-26 04:39:31,40,29.4930792354
157942,900,10,294,5,2008-10-13 16:49:45,3,29.9906873095
157960,900,46,327,12,2008-11-11 06:23:33,15,28.9640965246
157985,900,51,282,10,2008-03-03 01:47:37,3,27.691110863
158008,900,65,465,29,2008-06-12 22:45:20,2,29.9831129954
158050,900,27,194,12,2008-02-23 15:42:47,10,30.68669572
158113,900,4,400,1,2008-08-14 20:46:43,1,29.6009814567
158119,900,390,345,204,2009-05-19 03:01:51,109,31.0895174966
158261,900,452,530,332,2008-11-04 04:01:36,101,33.2851344025
158266,900,26,255,13,2008-06-02 10:10:19,7,32.385620656
158398,900,1,446,0,2009-04-09 13:48:53,1,30.190900592
158409,900,4,463,0,2009-01-31 15:42:44,1,31.2491110785
158468,900,10,198,2,2008-09-04 16:51:46,1,27.7987322751
158526,900,8,311,3,2008-10-31 19:17:13,1,29.7539547192
158558,900,142,362,56,2008-03-23 21:02:01,4,30.187565163
158828,900,81,388,30,2008-12-19 21:34:06,3,30.5516290792
158847,900,18,434,9,2008-12-30 13:57:03,2,30.8671159542
159013,900,488,359,196,2009-02-23 07:24:33,422,32.4645030519
159065,900,430,433,324,2009-07-02 18:06:05,83,32.1385170775
